T(K) logP(GPa) logrho(g/cm^3) logE(MJ/kg) S(MJ/kg/K)
150 3.42196812 Nan Nan Nan
150 3.43259807 Nan Nan Nan
150 3.44297404 Nan Nan Nan
150 3.45310789 Nan Nan Nan
150 3.46301066 Nan Nan Nan
150 3.47269265 Nan Nan Nan
150 3.4821635 Nan Nan Nan
150 3.49143221 Nan Nan Nan
150 3.50050723 Nan Nan Nan
150 3.50939649 Nan Nan Nan
150 3.51810745 Nan Nan Nan
150 3.52664712 Nan Nan Nan
150 3.53502211 Nan Nan Nan
150 3.54323864 Nan Nan Nan
150 3.5513026 Nan Nan Nan
150 3.55921955 Nan Nan Nan
150 3.56699477 Nan Nan Nan
150 3.57463323 Nan Nan Nan
150 3.58213966 Nan Nan Nan
150 3.58951855 Nan Nan Nan
150 3.59677416 Nan Nan Nan
150 3.60391054 Nan Nan Nan
150 3.61093155 Nan Nan Nan
150 3.61784086 Nan Nan Nan
150 3.62464196 Nan Nan Nan
150 3.6313382 Nan Nan Nan
150 3.63793276 Nan Nan Nan
150 3.64442868 Nan Nan Nan
150 3.65082886 Nan Nan Nan
150 3.6571361 Nan Nan Nan
150 3.66335304 Nan Nan Nan
150 3.66948225 Nan Nan Nan
150 3.67552615 Nan Nan Nan
150 3.6814871 Nan Nan Nan
150 3.68736733 Nan Nan Nan
150 3.69316902 Nan Nan Nan
150 3.69889421 Nan Nan Nan
150 3.70454492 Nan Nan Nan
150 3.71012305 Nan Nan Nan
150 3.71563043 Nan Nan Nan
150 3.72106886 Nan Nan Nan
150 3.72644002 Nan Nan Nan
150 3.73174556 Nan Nan Nan
150 3.73698707 Nan Nan Nan
150 3.74216607 Nan Nan Nan
150 3.74728404 Nan Nan Nan
150 3.7523424 Nan Nan Nan
150 3.75734252 Nan Nan Nan
150 3.76228573 Nan Nan Nan
150 3.7671733 Nan Nan Nan
150 3.77200649 Nan Nan Nan
150 3.77678647 Nan Nan Nan
150 3.78151442 Nan Nan Nan
150 3.78619145 Nan Nan Nan
150 3.79081865 Nan Nan Nan
150 3.79539707 Nan Nan Nan
150 3.79992772 Nan Nan Nan
150 3.8044116 Nan Nan Nan
150 3.80884966 Nan Nan Nan
150 3.81324282 Nan Nan Nan
150 3.81759199 Nan Nan Nan
150 3.82189803 Nan Nan Nan
150 3.8261618 Nan Nan Nan
150 3.83038412 Nan Nan Nan
150 3.83456578 Nan Nan Nan
150 3.83870756 Nan Nan Nan
150 3.84281021 Nan Nan Nan
150 3.84687447 Nan Nan Nan
150 3.85090104 Nan Nan Nan
150 3.85489063 Nan Nan Nan
150 3.8588439 Nan Nan Nan
150 3.86276151 Nan Nan Nan
150 3.8666441 Nan Nan Nan
150 3.87049228 Nan Nan Nan
150 3.87430667 Nan Nan Nan
150 3.87808784 Nan Nan Nan
150 3.88183638 Nan Nan Nan
150 3.88555284 Nan Nan Nan
150 3.88923776 Nan Nan Nan
150 3.89289168 Nan Nan Nan
150 3.89651512 Nan Nan Nan
150 3.90010858 Nan Nan Nan
150 3.90367254 Nan Nan Nan
150 3.9072075 Nan Nan Nan
150 3.91071391 Nan Nan Nan
150 3.91419225 Nan Nan Nan
150 3.91764294 Nan Nan Nan
150 3.92106644 Nan Nan Nan
150 3.92446315 Nan Nan Nan
150 3.92783351 Nan Nan Nan
150 3.93117791 Nan Nan Nan
150 3.93449676 Nan Nan Nan
150 3.93779043 Nan Nan Nan
150 3.94105931 Nan Nan Nan
150 3.94430378 Nan Nan Nan
150 3.94752418 Nan Nan Nan
150 3.95072088 Nan Nan Nan
150 3.95389422 Nan Nan Nan
150 3.95704454 Nan Nan Nan
150 3.96017218 Nan Nan Nan
150 3.96327745 Nan Nan Nan
150 3.96636068 Nan Nan Nan
150 3.96942217 Nan Nan Nan
150 3.97246223 Nan Nan Nan
150 3.97548116 Nan Nan Nan
150 3.97847924 Nan Nan Nan
150 3.98145677 Nan Nan Nan
150 3.98441403 Nan Nan Nan
150 3.98735129 Nan Nan Nan
150 3.99026881 Nan Nan Nan
150 3.99316687 Nan Nan Nan
150 3.99604571 Nan Nan Nan
150 3.9989056 Nan Nan Nan
150 4.00174678 Nan Nan Nan
150 4.00456949 Nan Nan Nan
150 4.00737397 Nan Nan Nan
150 4.01016046 Nan Nan Nan
150 4.01292918 Nan Nan Nan
150 4.01568037 Nan Nan Nan
150 4.01841424 Nan Nan Nan
150 4.021131 Nan Nan Nan
150 4.02383088 Nan Nan Nan
150 4.02651407 Nan Nan Nan
150 4.02918079 Nan Nan Nan
200 -4.0 -3.916796 0.30076629 0.0592735
200 -3.95750289 -3.87432822 0.30076665 0.05886763
200 -3.91500579 -3.83178904 0.30077748 0.0584614
200 -3.87250868 -3.78933733 0.30078981 0.05805599
200 -3.83001158 -3.74688023 0.30079644 0.05765101
200 -3.78751447 -3.70440047 0.30078851 0.05724739
200 -3.74501736 -3.66192395 0.30076308 0.05684507
200 -3.70252026 -3.61951968 0.30072554 0.0564435
200 -3.66002315 -3.57710626 0.30068228 0.05604194
200 -3.61752605 -3.5346877 0.30063971 0.05563997
200 -3.57502894 -3.49226893 0.30060381 0.05523706
200 -3.53253183 -3.44984968 0.30057502 0.05483312
200 -3.49003473 -3.40743284 0.30054937 0.05442849
200 -3.44753762 -3.36502141 0.30052273 0.0540235
200 -3.40504051 -3.32261839 0.30049094 0.05361846
200 -3.36254341 -3.2802264 0.30045064 0.05321365
200 -3.3200463 -3.23784623 0.30040248 0.05280904
200 -3.2775492 -3.19547793 0.30034867 0.05240454
200 -3.23505209 -3.15312159 0.30029136 0.05200003
200 -3.19255498 -3.11077726 0.30023272 0.05159542
200 -3.15005788 -3.06844622 0.30017333 0.0511906
200 -3.10756077 -3.02613259 0.30011003 0.0507855
200 -3.06506367 -2.9838409 0.30003911 0.05038006
200 -3.02256656 -2.9415757 0.29995683 0.04997421
200 -2.98006945 -2.89934147 0.2998596 0.04956789
200 -2.93757235 -2.85714088 0.29974584 0.04916109
200 -2.89507524 -2.8149746 0.29961625 0.04875387
200 -2.85257814 -2.77284323 0.29947164 0.04834629
200 -2.81008103 -2.73074738 0.29931283 0.0479384
200 -2.76758392 -2.68868805 0.29914037 0.04753026
200 -2.72508682 -2.64666959 0.2989531 0.04712191
200 -2.68258971 -2.60469806 0.29874896 0.04671334
200 -2.6400926 -2.5627795 0.29852587 0.04630459
200 -2.5975955 -2.52091996 0.29828172 0.04589566
200 -2.55509839 -2.47912624 0.29801419 0.04548653
200 -2.51260129 -2.437408 0.29771979 0.04507698
200 -2.47010418 -2.39577538 0.29739486 0.04466678
200 -2.42760707 -2.35423855 0.29703578 0.0442557
200 -2.38510997 -2.31280776 0.29663887 0.04384353
200 -2.34261286 -2.2714946 0.29620108 0.04343017
200 -2.30011576 -2.2303126 0.29572043 0.04301567
200 -2.25761865 -2.18927552 0.29519488 0.0426001
200 -2.21512154 -2.14839714 0.29462239 0.04218352
200 -2.17262444 -2.10769165 0.29400097 0.041766
200 -2.13012733 -2.06718002 0.29332699 0.04134756
200 -2.08763023 -2.02688771 0.29259585 0.04092818
200 -2.04513312 -1.98684026 0.29180298 0.04050785
200 -2.00263601 -1.94706322 0.29094385 0.04008656
200 -1.96013891 -1.90758398 0.29001163 0.0396643
